iter	compliance	FCS	theta_only	hj_trial	reinit_trial	accepted_source_detail
1	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
2	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
3	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
4	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
5	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
6	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
7	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
8	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
9	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
10	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
11	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
12	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
13	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
14	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
15	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
16	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
17	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
18	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
19	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
20	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
21	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
22	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
